ID,Prediction
1,0.076
2,0.002
3,0.046
4,0.328
5,0.004
6,0.036
7,0.0
8,0.672
9,0.408
10,0.748
11,0.012
12,0.1
13,0.17
14,0.906
15,0.002
16,0.174
17,0.036
18,0.426
19,0.674
20,0.004
21,0.046
22,0.218
23,0.912
24,0.978
25,0.046
26,0.46
27,0.01
28,0.018
29,0.018
30,0.11025
31,0.002
32,0.022
33,0.002
34,0.0
35,0.382
36,0.186
37,0.0
38,0.638
39,0.058
40,0.61
41,0.764
42,0.042
43,0.98
44,0.098
45,0.0
46,0.0
47,0.018
48,0.596
49,0.054
50,0.138
51,0.0
52,0.142
53,0.51
54,0.436
55,0.9
56,0.184
57,0.106
58,0.322
59,0.206
60,0.474
61,0.0
62,0.428
63,0.062
64,0.002
65,0.0
66,0.018
67,0.986
68,0.03
69,0.0
70,0.016
71,0.004
72,0.57
73,0.0
74,0.044
75,0.384
76,0.002
77,0.0
78,0.166
79,0.63
80,0.0
81,0.068
82,0.04
83,0.03
84,0.006
85,0.176
86,0.948
87,0.09
88,0.0
89,0.116
90,0.854
91,0.51
92,0.766
93,0.0
94,0.002
95,0.234
96,0.836
97,0.0
98,0.0
99,0.094
100,0.236
101,0.906
102,0.078
103,0.016
104,0.4
105,0.804
106,0.008
107,0.024
108,0.006
109,0.97
110,0.058
111,0.006
112,0.018
113,0.004
114,0.002
115,0.712
116,0.08
117,0.0
118,0.002
119,0.038
120,0.05
121,0.918
122,0.02
123,0.818
124,0.552
125,1.0
126,0.002
127,0.158
128,0.284
129,0.19
130,0.072
131,0.778
132,0.244
133,0.868
134,0.74
135,0.172
136,0.02
137,0.012
138,0.0
139,0.134
140,0.002
141,0.32
142,0.028
143,0.0
144,0.126
145,0.018
146,0.57
147,0.06
148,0.086
149,0.548
150,0.008
151,0.638
152,0.82
153,0.09
154,0.018
155,0.194
156,0.692
157,0.368
158,0.0
159,0.002
160,0.112
161,0.96
162,0.198
163,0.01
164,0.0
165,0.042
166,0.556
167,0.212
168,0.054
169,0.002
170,0.002
171,0.904
172,0.0
173,0.164
174,0.0
175,0.296
176,0.444
177,0.1
178,0.168
179,0.008
180,0.008
181,0.586
182,0.218
183,0.006
184,0.03
185,0.002
186,0.002
187,0.022
188,0.152
189,0.0
190,0.014
191,0.026
192,0.396
193,0.362
194,0.578
195,0.066
196,0.01
197,0.922
198,0.004
199,0.683
200,0.042
201,0.002
202,0.33
203,0.008
204,0.006
205,0.002
206,0.632
207,0.054
208,0.014
209,0.4
210,0.014
211,0.016
212,0.184
213,0.01
214,0.014
215,0.002
216,0.898
217,0.008
218,0.1
219,0.036
220,0.99
221,0.418
222,0.0
223,0.0
224,0.97
225,0.758
226,0.0
227,0.01
228,0.062
229,0.0
230,0.474
231,0.81
232,0.11
233,0.524
234,0.304
235,0.836
236,0.488
237,0.152
238,0.146
239,0.166
240,0.022
241,0.556
242,0.0
243,0.018
244,0.11
245,0.02
246,0.844
247,0.002
248,0.916
249,0.812
250,0.418
251,0.018
252,0.054
253,0.0
254,0.0
255,0.168
256,0.002
257,0.356
258,0.932
259,0.538
260,0.0
261,0.006
262,0.588
263,0.008
264,0.022
265,0.096
266,0.0
267,0.01
268,0.738
269,0.194
270,0.0
271,0.788
272,0.008
273,0.008
274,0.098
275,0.262
276,0.202
277,0.154
278,0.0
279,0.024
280,0.122
281,0.836
282,0.09
283,0.03
284,0.04
285,0.028
286,0.728
287,0.34
288,0.456
289,0.0
290,0.456
291,0.254
292,0.962
293,0.002
294,0.11
295,0.056
296,0.0
