ID,Prediction
1,0.08
2,0.0
3,0.03
4,0.34
5,0.0
6,0.02
7,0.0
8,0.61
9,0.4
10,0.8
11,0.01
12,0.13
13,0.15
14,0.89
15,0.0
16,0.15
17,0.04
18,0.58
19,0.76
20,0.0
21,0.04
22,0.14
23,0.92
24,0.97
25,0.02
26,0.52
27,0.02
28,0.01
29,0.02
30,0.09
31,0.0
32,0.0
33,0.0
34,0.0
35,0.34
36,0.21
37,0.0
38,0.67
39,0.04
40,0.54
41,0.78
42,0.01
43,0.97
44,0.09
45,0.0
46,0.0
47,0.01
48,0.62
49,0.07
50,0.08
51,0.0
52,0.17
53,0.54
54,0.43
55,0.88
56,0.16
57,0.14
58,0.25
59,0.28
60,0.49
61,0.0
62,0.43
63,0.03
64,0.0
65,0.0
66,0.0
67,0.98
68,0.0
69,0.0
70,0.0
71,0.0
72,0.5
73,0.0
74,0.06
75,0.43
76,0.02
77,0.0
78,0.13
79,0.69
80,0.0
81,0.07
82,0.09
83,0.02
84,0.02
85,0.13
86,0.95
87,0.11
88,0.0
89,0.11
90,0.83
91,0.43
92,0.82
93,0.02
94,0.0
95,0.31
96,0.81
97,0.0
98,0.0
99,0.13
100,0.2
101,0.92
102,0.07
103,0.02
104,0.33
105,0.85
106,0.01
107,0.03
108,0.0
109,0.92
110,0.08
111,0.01
112,0.04
113,0.0
114,0.02
115,0.81
116,0.1
117,0.0
118,0.0
119,0.07
120,0.05
121,0.91
122,0.0
123,0.76
124,0.55
125,1.0
126,0.01
127,0.1
128,0.25
129,0.19
130,0.03
131,0.83
132,0.24
133,0.86
134,0.78
135,0.16
136,0.01
137,0.0
138,0.0
139,0.21
140,0.0
141,0.23
142,0.02
143,0.01
144,0.23
145,0.01
146,0.53
147,0.05
148,0.14
149,0.66
150,0.0
151,0.63
152,0.78
153,0.11
154,0.01
155,0.16
156,0.68
157,0.38
158,0.0
159,0.01
160,0.1
161,0.94
162,0.25
163,0.0
164,0.01
165,0.03
166,0.55
167,0.2
168,0.03
169,0.01
170,0.0
171,0.9
172,0.0
173,0.16
174,0.0
175,0.34
176,0.39
177,0.08
178,0.17
179,0.01
180,0.01
181,0.63
182,0.23
183,0.0
184,0.0
185,0.0
186,0.0
187,0.0
188,0.11
189,0.0
190,0.02
191,0.03
192,0.36
193,0.25
194,0.58
195,0.12
196,0.0
197,0.96
198,0.01
199,0.69
200,0.02
201,0.0
202,0.37
203,0.02
204,0.0
205,0.0
206,0.58
207,0.11
208,0.02
209,0.39
210,0.0
211,0.01
212,0.23
213,0.0
214,0.01
215,0.0
216,0.86
217,0.0
218,0.07
219,0.06
220,1.0
221,0.43
222,0.0
223,0.0
224,0.96
225,0.69
226,0.0
227,0.0
228,0.05
229,0.0
230,0.53
231,0.84
232,0.07
233,0.56
234,0.29
235,0.8
236,0.35
237,0.16
238,0.14
239,0.19
240,0.02
241,0.6
242,0.0
243,0.01
244,0.06
245,0.01
246,0.85
247,0.0
248,0.9
249,0.88
250,0.39
251,0.0
252,0.01
253,0.0
254,0.0
255,0.2
256,0.0
257,0.35
258,0.95
259,0.61
260,0.0
261,0.02
262,0.65
263,0.02
264,0.03
265,0.14
266,0.01
267,0.02
268,0.64
269,0.22
270,0.0
271,0.78
272,0.0
273,0.0
274,0.07
275,0.25
276,0.2
277,0.15
278,0.0
279,0.03
280,0.07
281,0.87
282,0.06
283,0.03
284,0.04
285,0.03
286,0.77
287,0.44
288,0.49
289,0.0
290,0.39
291,0.26
292,0.96
293,0.0
294,0.09
295,0.09
296,0.0
297,0.74
298,0.7
299,0.06
300,0.12
301,0.69
302,0.01
303,0.05
304,0.06
305,0.1
306,0.6
307,0.03
308,0.73
309,0.0
310,0.29
311,0.03
312,0.29
313,0.0
314,0.09
315,0.0
316,0.01
317,0.92
318,0.16
319,0.62
320,0.04
321,0.0
322,0.01
323,0.36
324,0.11
325,0.61
326,0.0
327,0.0
328,0.0
329,0.04
330,0.01
331,0.49
332,0.26
333,0.3
334,0.02
335,0.0
336,0.0
337,0.55
338,0.11
339,0.23
340,0.92
341,0.21
342,0.73
343,0.06
344,0.0
345,0.59
346,0.83
347,0.0
348,0.98
349,0.79
350,0.36
351,0.02
352,0.39
353,0.3
354,0.8
355,0.22
356,0.0
357,0.01
358,0.08
359,0.23
360,0.48
361,0.0
362,0.08
363,0.3
364,0.3
365,0.04
366,0.28
367,0.07
368,0.64
369,0.14
370,0.99
371,0.07
372,0.34
373,0.0
374,0.03
375,0.1
376,0.1
377,0.13
378,0.0
379,0.2
380,0.0
381,0.11
382,0.0
383,0.02
384,0.01
385,0.0
386,0.0
387,0.88
388,0.05
389,0.01
390,0.14
391,0.16
392,0.83
393,0.0
394,0.06
395,0.72
396,0.92
397,0.48
398,0.62
399,0.45
400,0.32
401,0.15
402,0.0
403,0.03
404,0.11
405,0.31
406,0.06
407,0.0
408,0.42
409,0.87
410,0.171
411,0.98
412,0.05
413,0.0
414,0.25
415,0.0
416,0.47
417,0.32
418,0.55
419,0.02
420,0.0
421,0.0
422,0.0
423,0.0
424,0.95
425,0.12
426,0.25
427,0.48
428,0.0
429,0.14
430,0.09
431,0.41
432,0.45
433,0.0
434,0.49
435,0.18
436,0.06
437,0.67
438,0.02
439,0.0
440,0.01
441,0.74
442,0.99
443,0.01
444,0.54
445,0.22
446,0.05
447,0.0
448,0.0
449,0.5
450,0.76
451,0.98
452,0.0
453,0.09
454,0.92
455,0.01
456,0.0
457,0.01
458,0.41
459,0.01
460,0.01
461,0.07
462,0.49
463,0.38
464,0.01
465,0.07
466,0.01
467,0.12
